0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
CNN3,0.7896335,4.068937390938467e-257,KLK11,2.0843766,0.0,GADD45A,1.9960191,0.0,MUC16,1.2595272,1.0176784904827912e-145,SCGB3A1,2.4559004,0.0,HERC5,8.895523,0.0
FAM83A,0.84472597,1.6665500163873487e-255,CREB3L1,2.4795206,0.0,LAMB3,2.171268,0.0,MUC4,0.8487267,7.427859157850182e-142,COX7C,0.60508245,0.0,PNPT1,5.4589524,0.0
NOTCH3,1.5964797,2.914400346679008e-252,EPHX1,0.8962334,0.0,PLAU,3.2528007,0.0,ADD3,0.74342084,1.525756072144032e-139,AGR2,1.3603958,0.0,CMPK2,8.078886,0.0
ANXA11,0.4638046,2.848717883833884e-250,TNFSF10,0.9652364,0.0,LAMC2,2.8402588,0.0,MT-ND4,0.29844874,2.3710603191538337e-135,RPL37,0.6127217,0.0,IFI44,5.6504264,0.0
APLP2,0.45096776,2.2026228888759363e-248,MDK,1.1102008,0.0,IL32,3.5819774,0.0,METTL7A,1.3456175,1.825021638594192e-132,RPS3A,0.61637765,0.0,LAMP3,7.7187667,0.0
TRIM16,1.5557605,1.771219528100608e-244,FADS2,2.4832933,0.0,SHMT2,2.5978374,0.0,SCGB3A1,1.4915637,9.5038004936417e-132,DBI,1.1873116,0.0,SP100,2.7391477,0.0
GMNN,1.7640028,9.012575103433622e-244,AGR2,1.2033508,0.0,SLC7A1,3.4860044,0.0,ITM2B,0.32185534,9.618299711061862e-131,RPLP1,0.51457167,0.0,SAMHD1,4.330523,0.0
CALR,0.48865503,7.684376780420438e-240,DBI,0.95720917,0.0,CHAC1,4.291697,0.0,CTSH,0.5666061,2.3684594340612932e-130,RPL38,0.6536216,0.0,HERC6,5.4570746,0.0
NR2F2,0.9169403,7.429748619320147e-239,SCGB1A1,2.6453147,0.0,CLDN1,2.5007272,0.0,VPS13D,1.2562567,3.7514500692682154e-129,RPL10A,0.5690606,0.0,USP18,7.175373,0.0
PHACTR2,1.4337771,4.646404669378205e-236,RARRES3,1.2554135,0.0,ATF4,0.8596148,0.0,S100A11,0.22927044,7.789426212916593e-129,H3F3A,0.42222303,0.0,UBE2L6,3.4368484,0.0
VPS13D,1.4778075,4.130255225352368e-235,SLC5A5,2.4220421,0.0,KYNU,2.2636433,0.0,SYTL2,1.1700578,8.944944877179311e-126,COX6C,0.7573517,0.0,IFITM3,1.6581684,0.0
EPAS1,0.9674808,3.624893662860273e-234,CHST9,2.005854,0.0,CAMK2N1,1.9506394,0.0,GABRP,1.4401727,1.842962396539478e-125,RPS6,0.39953128,0.0,ISG20,6.492508,0.0
C1orf116,1.3841925,1.9062184838305812e-233,MAGED1,1.3533539,0.0,TARS,1.983577,0.0,B3GNT7,1.1803429,4.4382702137040804e-125,ATP5MF,0.651921,0.0,APOL6,3.2183678,0.0
QSOX1,0.7884989,9.119104467520299e-231,CYP4B1,1.7084436,0.0,CDC42EP1,2.7626452,0.0,EHF,0.6186938,9.044634542234645e-123,RPL41,0.4119944,0.0,C19orf66,3.8637583,0.0
HSP90B1,0.47344184,1.9693320420493327e-227,ALDH2,1.1214644,0.0,SOX4,1.1171055,0.0,FAM3C,0.5613314,7.939285156915263e-120,RPS25,0.6693771,0.0,DDX60,5.98614,0.0
SCARA3,2.078928,6.891760924784445e-227,PI3,2.6513107,0.0,EIF2S2,0.7055992,0.0,MT-ND4L,0.32904953,1.0181262742518996e-119,NDUFA1,0.7564372,0.0,PARP14,3.9847262,0.0
WNT4,1.7832243,5.2258531499297125e-225,GSTA2,2.5379777,0.0,DBN1,2.706345,0.0,ABHD2,1.0019627,6.247017559783404e-119,RPS4X,0.5224888,0.0,NUPR1,5.651677,0.0
GABRP,1.5618204,7.067739112382188e-223,UCP2,1.7352014,0.0,PPP1R14B,1.8658432,0.0,EPB41L4A,1.3390248,2.9953884500711087e-117,RPS14,0.8233535,0.0,SPATS2L,2.3421197,0.0
