Goblet_STEAP4+_n,Goblet_STEAP4+_l,Goblet_STEAP4+_p,Club_DHRS9+_n,Club_DHRS9+_l,Club_DHRS9+_p,iavEpi_n,iavEpi_l,iavEpi_p,Basal_SERPINE1+_n,Basal_SERPINE1+_l,Basal_SERPINE1+_p,Basal_SERPINE2+_n,Basal_SERPINE2+_l,Basal_SERPINE2+_p,Goblet_RARRES1+_n,Goblet_RARRES1+_l,Goblet_RARRES1+_p,iavAT2_lip_n,iavAT2_lip_l,iavAT2_lip_p,Basal_IGFBP6+_n,Basal_IGFBP6+_l,Basal_IGFBP6+_p,iavClub_SAA1+_n,iavClub_SAA1+_l,iavClub_SAA1+_p,SupraB_KRT16+_n,SupraB_KRT16+_l,SupraB_KRT16+_p
ELF3,2.9345217,0.0,APOL1,2.5748117,3.24750448130938e-257,MT-CO1,0.9365083,0.0,CAV1,5.8106217,0.0,FLNA,5.707595,0.0,SCGB3A1,2.6718433,1.760154376201332e-142,RBM47,2.7530491,2.456566678602746e-209,PPIA,0.81697756,4.421985864314864e-224,CNBD1,4.4780726,4.098577833638396e-143,SERPINB13,4.430425,6.257945822640634e-72
TGM2,3.6101933,0.0,MX1,2.686473,6.903400135893813e-254,MT-ATP6,0.9130009,0.0,PLP2,5.8479056,0.0,CAV1,5.6548324,0.0,DHCR24,1.9310797,6.2417560931422545e-142,LINC01004,6.510521,5.484904989587759e-207,RPL31,0.93095666,6.94486669683321e-222,NCOA7,1.5747182,2.2761650935742972e-127,ARL8B,2.2878695,8.759948321127409e-71
GABRP,4.239024,0.0,ADGRF1,2.9596696,5.951639122707394e-247,CYB5A,2.4476225,0.0,CD44,5.1459417,0.0,PLP2,5.690193,0.0,SLC44A4,3.11896,3.6981052902280845e-140,SCARB1,6.249747,1.1894318017251868e-205,CLCA2,4.584525,3.5508665846849947e-221,MT-ND2,0.7366787,1.4530170123519574e-126,GADD45A,2.7755823,1.2141207050783105e-70
WFDC2,2.2826989,0.0,ARRDC3,2.667695,2.5566506987212072e-245,GPR158,5.9429054,0.0,ITGA3,4.5445185,0.0,TAGLN2,2.7885933,0.0,SELENBP1,3.3012226,1.0243363892560695e-139,MT-ND4,1.2035205,1.04541464213601e-203,RPL14,1.0828971,4.3296326519799127e-221,MT-ND3,0.67111295,6.46170847154799e-123,LAD1,3.6358871,3.5533268251270915e-70
CEACAM6,3.938974,0.0,SERPINB1,2.0677686,3.6155989876583766e-243,MT-CYB,0.84918636,0.0,ITGB4,5.249226,0.0,EIF1,1.6151065,0.0,TSPAN1,2.0160842,1.5003221159683015e-139,MT-ND5,1.0830911,4.188941624480073e-200,RPL10A,1.0947127,3.196629467558385e-215,PMAIP1,2.7017374,1.3732918606340938e-120,JUP,1.7414012,4.349205770243325e-68
DUSP5,3.2064154,0.0,ATP1B1,1.2793735,8.615561317911234e-241,AGR2,3.290854,0.0,ITGA6,5.9692054,0.0,KRT17,4.3846645,0.0,TMC5,3.266303,1.0095361979073768e-138,GABRB1,5.673571,2.8802801314849028e-182,ANXA2,0.95009786,7.964760255189559e-215,GADD45A,2.1673079,3.5542286075382543e-118,TRIM29,3.0367656,2.170123724119013e-66
SLC34A2,3.7763333,0.0,SERPINB4,3.431854,1.2620724600175157e-240,COX7C,1.1006236,1.6413957426968007e-290,FLNA,5.749991,0.0,CALD1,5.62464,0.0,SCNN1A,2.332948,4.98457100962998e-131,NUP210L,7.7100368,1.374337753155436e-179,RPS6,0.864539,1.197147700182601e-213,ZC3H12A,2.5603206,2.132688914522083e-112,LYPD3,4.8886266,4.558456868185135e-66
MUC1,2.8136756,0.0,SELENOP,2.430389,8.28606874627483e-239,CNBD1,5.0635257,6.698938347213266e-290,THBS1,5.9277163,0.0,TGFBI,5.594739,0.0,RDH10,3.1593,4.98457100962998e-131,MT-ATP8,1.1315264,1.590562516674067e-179,RPL32,1.0299329,9.669760438240913e-213,SLC3A2,2.5025802,4.7536639077986465e-111,BTG1,2.9558675,6.31803244172497e-66
GOLM1,2.9414134,0.0,KLF5,1.4444078,4.997381048537964e-235,MT-ND4,0.8839777,3.748043716721235e-287,KRT6A,4.604623,0.0,PRNP,3.9746032,0.0,CEACAM6,3.3344972,1.567622123727258e-130,TESK2,6.199174,2.8085989757389626e-178,RPS24,0.85168433,8.719707182483108e-209,GDF15,2.1302679,2.430018299272312e-107,ANXA2,0.8825474,1.1411340843903851e-65
DUSP1,3.119334,0.0,PARP9,2.304591,6.512500286433213e-235,B2M,0.93636554,2.2710207757137057e-278,TGFBI,5.6091104,0.0,ITGB1,2.2422204,0.0,AGR2,2.8831458,7.76387670678841e-129,MT-ND1,1.0087284,3.0887439116678383e-178,TINAGL1,2.9723337,8.946784967130953e-206,ZFAS1,1.3186002,2.620370853189136e-106,CSTA,3.070588,1.6479756522847212e-65
