0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
TMEM212,3.7351758,2.4953284846254995e-284,TPT1,0.6443517,4.139322372472639e-91,S100A6,0.88430536,4.032452236785486e-59,ATP1B3,2.7234335,1.8717934125903907e-99,CKS1B,4.252092,1.7032464868785423e-137,OAS1,2.9338453,1.5409533607009387e-44
LRRC10B,3.3335338,2.713784461134028e-280,NR4A1,3.3479333,8.01362125447358e-90,CDC42EP1,3.1131356,5.219022084045367e-59,MGST1,1.5956084,1.992202851735385e-99,HES6,5.47,2.6792689451564302e-135,OAS2,2.3684204,3.1969081989794224e-44
PRKAR1A,1.2193618,4.175612510753294e-280,RPS29,0.68819755,1.5349191263286097e-89,TM4SF1,2.0018299,9.330715355582522e-59,RPL14,0.9112362,2.3586634724940523e-99,SLFN11,5.4465175,1.045066381062208e-134,MX2,2.7367086,4.093512165680624e-42
SPATA18,2.4857793,6.859815139518377e-278,S100A9,2.8345354,1.1097011512182116e-88,ATF4,1.1466776,7.510413854982961e-58,RPS24,0.8182803,4.7441416036462585e-99,NAP1L1,0.91937274,1.1471470279481872e-134,MT-CO1,0.63132364,7.547480330959654e-41
TUBA1A,2.5441933,2.213077388573012e-274,F3,2.3752098,6.200336528326655e-85,MACC1,1.8948615,1.6493205710489217e-57,EEF1A1,0.57961625,5.258567390675295e-99,ANLN,7.155431,3.2176508892841987e-133,TPT1,0.6531481,1.393818281722549e-39
CCDC17,2.693927,2.2895483854997346e-274,RPL23,0.58647025,6.880558313531362e-82,PHLDA3,2.3663821,3.0985318676476208e-56,TMSB4X,1.4250821,3.3652261414964974e-98,SGO2,6.2912393,2.515449788056266e-132,RPS13,0.62133396,2.3375217655025583e-39
TNFAIP8L1,2.9797566,2.337174345082753e-274,XBP1,1.2651241,1.5289076149948977e-81,GULP1,1.9297767,6.404821264275417e-56,RPS12,1.2088023,4.83239726207789e-97,CCDC14,5.4571404,3.152379298247291e-129,B2M,0.70650876,3.167615176808349e-39
CFAP73,2.6982622,3.318124208463405e-269,IDH1,2.0699186,1.632977841109932e-80,BRI3,0.95451427,1.1386291053537863e-55,RPL12,1.1025782,5.055066876945036e-97,MIS18A,5.019935,3.918678934367426e-129,MT-ATP6,0.64071405,6.01642832949078e-39
CCDC146,2.0273736,3.150754187634426e-266,RPL34,0.5571213,6.829492589965022e-80,MYL12A,0.6002933,2.4098808222429764e-55,RPLP0,0.983014,1.6991623188631997e-96,CALM3,2.6320136,3.161475520098251e-126,MT-ND1,0.6059295,1.3712849022336786e-37
UCP2,1.4369335,1.0160231625118839e-265,KLK11,2.9923904,2.129282287617021e-79,CDC42EP3,1.9266568,1.7343421499290064e-54,IDH1,2.4423938,1.9515797656347585e-95,LRRC26,5.287198,6.462497720644749e-126,MT2A,1.2185272,2.4544468454263154e-37
CTSS,1.7982321,6.380901710491311e-265,CAPN13,2.707552,2.3196150861357986e-79,CLDN1,1.6167164,2.4430584267223466e-54,C3,2.814185,1.0119437757743791e-94,CEP120,4.2663736,1.2561428577616533e-125,RPS27A,0.54876804,1.5361789288282983e-36
CFAP53,2.8633738,9.87835885263069e-264,RPL27A,0.6227115,2.4144216506277585e-79,BTG1,1.9622493,1.3749628600335986e-51,KRT19,0.91700876,8.62801099688454e-94,FOXN4,7.530028,1.666984292707518e-125,RPS27,0.7662472,2.5382417982770404e-36
SLC44A4,1.2146698,1.729355352312636e-263,CYB5A,0.9539756,1.2569722120392962e-77,CEBPB,1.3296635,3.8624102248461846e-51,RPS2,0.93170077,9.70174660323437e-94,NPM1,1.0746843,8.146809682656537e-125,IFI44,2.5946536,4.6636006229020305e-36
IFT57,1.8322723,4.322716408055205e-260,LY6E,1.8385733,5.403388114293649e-77,PMEPA1,3.1746752,4.5907962779981146e-51,CTSB,1.0694401,1.2846149776797188e-93,OAT,2.6780753,1.51395926959059e-121,RPL9,0.5792986,8.6064740935215e-35
TUBB4B,1.5200422,1.5457814353966596e-259,RPS3,0.90403104,1.2404073165012786e-76,EDN1,3.1500483,7.791090510706056e-51,RPL5,0.8277257,1.565139456000173e-92,MELK,6.2680197,4.234566188568137e-121,IFITM2,1.4443922,1.3432236990873216e-34
LRRC46,2.5119097,5.488430862408732e-259,BPIFA2,3.321134,1.6188415247676247e-75,BIRC3,2.4499035,1.7569152037826014e-48,RPS29,0.8789021,3.4151410168774033e-91,USP13,6.1730704,1.723477752439636e-118,RPS11,0.59219337,1.3432236990873216e-34
ERICH3,3.369849,7.592792143242612e-257,RPS24,0.5520965,2.8030132889520368e-74,RNF19A,1.9944142,2.863982118969161e-48,CP,3.1022565,3.994244909488835e-91,YWHAH,2.4425037,9.274756577208112e-117,RPL12,0.7587695,2.6342602069933877e-34
CCDC65,2.5908124,2.0247212236400341e-255,RPL32,0.62361896,2.2533557472113854e-72,C15orf48,2.75237,3.702408313440457e-48,ID1,2.5147233,4.093154612471215e-91,CDK2AP2,2.239066,9.274756577208112e-117,MT-CYB,0.57939637,5.920256880850186e-33
IK,1.3377583,3.0803845115072995e-254,RPS28,0.66223514,2.784132508920841e-72,PPP1CB,0.6775543,6.388991785372051e-48,EEF2,1.0487547,1.1865306588710241e-90,NOP56,2.6469343,3.54560128968643e-115,SERF2,0.46389776,1.2790165492588232e-32
CCDC78,2.871651,6.916871824749156e-254,LMO4,1.9087523,3.206852563338724e-72,CXCL16,1.8339809,7.528785738860751e-48,LY6E,2.2053227,3.231463418872425e-90,TOP2A,7.0711217,2.924354002457023e-114,MT-ATP8,0.6666828,2.2254287855334382e-32
CDS1,2.0368571,6.703281359366498e-252,CD63,0.8353069,8.338079321095605e-72,NEDD9,2.7101443,1.1231816976463929e-47,RDH10,2.8654919,4.490565484758415e-90,H2AFV,1.8045304,5.005770726008833e-114,TMSB10,0.8361946,2.467878744093822e-32
CD59,1.3033234,9.38811970496179e-252,DUSP5,2.7949212,2.1112876359919128e-69,IRS2,2.205656,7.970071261655519e-46,KLK11,3.8599916,4.8969569349676605e-90,KIF20B,6.2827334,2.1122322916572142e-113,RPL39,0.61869454,2.762102464379725e-32
C20orf85,2.3378155,1.8893290731482587e-251,RDH10,2.237087,3.2115936416581097e-69,PSAT1,3.084704,1.3183518254189e-45,IGFBP3,2.405354,5.604274539708716e-90,ISYNA1,2.9727833,4.478747407509029e-112,ATP5F1E,0.61775833,4.0495325966591564e-32
SRGAP3-AS2,3.2951727,8.658678686027967e-248,CST3,0.6484221,8.850145164924672e-69,RND3,1.2804631,1.3246667630413061e-45,B4GALT5,2.0047922,5.967762087953194e-90,RCC2,2.8820186,2.203424668434385e-109,RSAD2,3.037511,4.1360612734425047e-32
OMG,3.8667817,1.2559664027423682e-247,CXCL1,3.0515885,1.0140253741937177e-67,NCF2,1.9747587,3.3681166674690493e-45,RDH11,2.4416368,1.3127552927518444e-89,STIL,5.344112,2.949303432566605e-109,RPL37A,0.59739184,4.927648874937719e-32
FAM92B,2.8511624,5.789647337237102e-245,TNFSF10,1.1655883,2.288479204021778e-67,KLF6,0.96329284,3.6320369534145604e-45,LIMA1,2.0998905,1.3199368223597982e-89,CCNB1,5.212791,7.526454403643759e-109,RPS29,0.63185596,1.208282939645754e-31
HACD4,2.939334,9.334900088191793e-245,RPL39,0.6286467,7.285529998984645e-67,RAP2B,2.2436533,1.6425266578495916e-44,RPL7,0.9209029,4.198022141500785e-89,RMI1,3.9178865,1.9924061163606284e-108,RPS20,0.57483554,1.2250799867500536e-31
ANKRD66,3.376452,9.918158006034458e-245,RPS13,0.5236756,6.981455557995824e-66,TMBIM1,1.245131,2.3245483951750756e-44,RPL34,0.7597251,1.1526982914469285e-88,AP2B1,2.330579,5.29737352988658e-108,NT5C3A,1.6096015,1.4324038022687435e-31
