0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p
MSMO1,1.6187085,1.2268239382951742e-208,MALAT1,0.87868553,5.045451723267993e-230,RPS24,0.5881765,0.0,ABCA1,1.7209203,2.0120524296154565e-69,RHOB,1.7484652,3.41340798091862e-159,TMSB4X,0.45290884,8.264144006593903e-139,POU2F3,6.601644,4.5149111970443066e-94
MVK,2.201255,3.329891115134884e-206,RDH10,1.6243917,7.905474909619441e-230,RPL41,0.55432504,0.0,CTSC,0.48115295,2.102203929926571e-69,MSMB,2.2780967,8.859468480107243e-159,TPM4,0.61704457,5.0842691990258046e-138,H2AFY,0.80507946,1.434125557201197e-91
TCN1,1.4690887,6.748645168184788e-204,VPS13D,1.2933822,1.4746557710166891e-223,MT2A,1.9503434,0.0,KRT15,1.0403515,1.0890266468660214e-68,HLA-DRB1,2.0387592,2.088492523085797e-158,PMEPA1,2.4166212,7.839042443407778e-138,COLCA2,3.8705986,4.51892199290071e-90
KLK11,1.6297302,1.0589075698195388e-200,CPD,0.8035111,1.0898211325303783e-218,SFN,2.4798734,0.0,DHRS9,0.5258272,9.266592842226776e-68,SLC44A4,1.4531734,7.334109655701742e-145,PLOD2,1.7279788,2.893272331379561e-133,HSP90AB1,0.4962024,1.1369049610712981e-89
A4GALT,1.29295,3.7666350400695876e-197,MUC4,1.5302861,4.558984094790948e-217,RPLP1,0.6630084,0.0,HIST1H4H,1.6920633,2.2593947982900467e-66,MDK,0.99503475,1.059503034491496e-143,HSP90B1,0.60504574,8.352252343813382e-130,TMEM51,3.3068187,2.4635568568203607e-89
PEG10,2.3503087,2.0976753621350147e-189,ATP1B1,0.5406041,1.2372943640267848e-213,RPL39,0.69351643,0.0,FYB1,1.526845,2.3883702499654387e-66,PLEKHS1,1.5033833,4.8893669085239064e-135,GPRC5A,1.1476082,1.6967814469118143e-124,HSPH1,1.4195594,2.1505587694000934e-87
GCNT3,1.4482881,2.681958295291624e-184,NEAT1,1.0250599,2.422676240595912e-212,RPL27A,0.65691066,0.0,PIP,1.5431129,1.7903301065952755e-65,SERF2,0.30184072,5.815686422041774e-133,TMEM45A,2.4119253,2.714332233517108e-124,YBX1,0.5666909,7.000015894130433e-86
GSTA4,1.4413055,3.807267065771428e-184,ST6GAL1,1.2502126,1.3574800915136242e-200,RPS27A,0.68332446,0.0,FAM3C,0.53919697,6.022128870759317e-65,S100A6,0.53010905,9.678990006912791e-131,ACTB,0.43820998,1.2050195628648855e-123,OSBPL3,2.9227235,3.0579577302875024e-85
SCD,1.7721561,4.6800203029770535e-183,TMBIM6,0.32452396,1.01106425595311e-191,RPL23,0.5950298,0.0,NCCRP1,1.388409,9.393200047356756e-64,S100P,1.5082273,1.5754210586025367e-126,STC1,2.4446197,1.9306362412595477e-121,ATP6V1G1,0.668102,7.452661301130146e-85
LDLR,1.662239,1.7280620953493613e-177,SLC34A2,1.8203311,4.911531694521594e-191,CAV1,3.5400784,0.0,FAM83A,0.53133166,9.417473365293493e-63,MGST1,0.44045076,4.729492153990298e-126,PLK2,1.0813123,2.4283425734182456e-120,ATP6V1A,1.6695917,3.975490068160773e-84
