0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p
LGALS3,0.3298245,7.852433174394494e-94,KLF3,0.8531337,1.2200324091572162e-97,RPL27,0.59304,0.0,RHBDD2,0.6479982,7.77776609317674e-34,KLF6,0.69286805,3.2553244089163746e-49,CCL20,2.9086576,1.132511069949959e-62,IVNS1ABP,1.92627,3.1611398525125675e-41
PDCD4,0.59105635,1.7976480172987035e-93,PAM,1.0433748,1.621942718584511e-96,PPIA,0.43050212,6.3157301655076455e-307,RPS27L,0.50189865,1.3749598181994616e-33,H2AFZ,0.43733394,4.3425905780261415e-49,PTTG1IP,0.4484837,3.968742110825726e-62,VSNL1,3.5741768,3.521964491896712e-41
RPL11,0.27107033,9.370479125728543e-93,TRIM56,1.2999512,1.844419336701325e-96,RPSA,0.7016586,1.1573033252127226e-306,TSPAN6,0.5443868,1.5960694512592492e-33,TGM2,1.3058106,1.9703242781360583e-48,ERO1A,1.0350875,4.3233090687300755e-61,SEMA3C,1.9906842,4.4568954646820036e-41
RPS26,0.33198372,9.397559442489146e-93,ASPH,0.53711873,1.2913612175901003e-94,RPL5,0.5012742,2.9151969708631868e-303,UBE2D1,0.7195944,2.0810269550479156e-33,SLC34A2,1.2112911,5.392171596112475e-48,DCLK1,1.8104414,4.559426145768392e-60,ZNF609,1.5800637,6.414131467496049e-41
GSTA2,1.7299367,1.4110074966680574e-91,APP,0.49431002,4.327951319908417e-94,TIMP1,2.2022643,1.0851666016135656e-301,RAB10,0.27680442,6.810777974453208e-33,TOX3,1.5985626,4.021467287396061e-47,ATP2B4,1.4873005,5.045680246701649e-60,MEX3A,2.7946389,1.710527128888671e-40
TECR,0.76458573,7.662024425711191e-91,PSCA,1.7749256,2.5681371434485675e-93,ZYX,1.1690099,9.220225949984761e-297,ATP6AP1,0.59408015,1.1045001043937419e-32,DUSP4,1.1037264,3.4225882552133925e-46,SPTBN1,1.1177263,1.85058451409328e-59,SMARCC1,1.0078717,2.7539562190613496e-40
GSN,0.47627124,1.4496540514631439e-89,TMEM123,0.4476462,4.6006973465331946e-93,RPS15A,0.5580498,4.773775259645862e-296,RARRES3,0.5500831,1.24570948940039e-32,RAB37,1.4283123,1.7277846909219436e-45,DSP,0.81813043,2.8751264977419513e-59,GNB1,0.44631833,3.3844683258534094e-39
DCXR,0.81614983,3.0536073848605164e-88,QSOX1,0.6687358,4.841310592413688e-93,RPL13A,0.4300704,1.3979541487423013e-290,MARCKSL1,0.6983043,2.4634269323881613e-32,TMSB10,0.24526018,5.436177242990146e-45,DSG2,0.75044173,6.5810165194317175e-59,STIP1,1.25646,5.6879656779057294e-39
SERPINB2,1.8684379,5.475318638281318e-88,IRF2BP2,0.5846723,9.293415918112824e-92,RPS4X,0.54068965,2.0090036009913993e-288,ZMAT3,0.7698612,4.901857245491572e-32,PRR15,1.0803269,1.9210630162581741e-44,MYH9,0.92431986,4.6429762574125035e-58,TCP1,0.9335121,1.0421094783471098e-38
ADIRF,1.6123725,3.4614138033066836e-86,PRRC2C,0.8102226,1.5034206844415529e-91,DSG3,3.3893092,3.296481181308707e-288,ATP6V1F,0.329524,9.098539783672475e-32,SORD,0.6223441,4.337419402145126e-44,NFKBIA,1.1179076,4.849141958261412e-58,DBN1,1.6765205,1.7588563722904513e-38
CLCA4,1.7049669,3.923888329793703e-86,KLF6,0.82569283,3.2846523647675396e-91,RPL4,0.56175107,1.6805558291909285e-285,CD24,0.24426106,1.7253673545964682e-31,JUN,0.6143344,2.6713047542802216e-43,SERPINH1,1.3910022,2.788297916771965e-57,HILPDA,2.2691405,5.323592265162991e-38
