Goblet_0_n,Goblet_0_l,Goblet_0_p,Club_1_n,Club_1_l,Club_1_p,SupraB_2_n,SupraB_2_l,SupraB_2_p,Basal_3_n,Basal_3_l,Basal_3_p,SupraB_4_n,SupraB_4_l,SupraB_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,Goblet_6_n,Goblet_6_l,Goblet_6_p,Goblet_7_n,Goblet_7_l,Goblet_7_p,Basal_8_n,Basal_8_l,Basal_8_p,Club_9_n,Club_9_l,Club_9_p,MultiC_10_n,MultiC_10_l,MultiC_10_p,Mixed_11_n,Mixed_11_l,Mixed_11_p,Mixed_12_n,Mixed_12_l,Mixed_12_p,Mixed_13_n,Mixed_13_l,Mixed_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Mixed_16_n,Mixed_16_l,Mixed_16_p,Mixed_17_n,Mixed_17_l,Mixed_17_p,Club_18_n,Club_18_l,Club_18_p
CP,5.032962,0.0,CXCL17,3.0619645,0.0,RPL6,0.793743,0.0,GJA1,4.026458,0.0,PGK1,1.4814932,0.0,TYMS,6.537345,0.0,BPIFB1,4.728254,1.105211369534734e-123,SOD2,3.784394,0.0,LGALS1,4.828167,0.0,FAM83A,1.8893112,6.3184335038121246e-173,SNTN,11.049562,0.0,XBP1,3.333007,0.0,LCN2,3.823314,0.0,NUPR1,4.9507203,0.0,CEP55,7.2080293,7.287036638724004e-275,CD44,2.518417,1.1541826906047462e-65,RPL10,0.46888614,2.6289627638755457e-13,GPR158,10.109241,1.1629971197426438e-177,H3F3A,0.83760536,2.332761394342348e-38
MSMB,6.230032,0.0,S100P,4.5761304,0.0,ANXA1,1.5684015,0.0,LOXL4,3.705995,0.0,PTHLH,5.206401,0.0,PLP2,3.9247289,0.0,GABRP,5.2095942,7.744234088050768e-121,SAA1,4.311955,0.0,MT2A,2.2114205,0.0,FTH1,0.96025705,4.810814600477469e-171,FAM183A,10.129919,0.0,CXCL17,3.1193788,0.0,CNBD1,7.2246914,0.0,ITGB6,4.1280937,0.0,DEK,2.7916205,2.5432552158277853e-274,LAMA3,3.8691773,4.460704112236088e-65,HLA-DRA,2.6299171,2.351952682718487e-12,MALAT1,2.4417834,1.466245000156934e-164,CYB5A,2.3473544,5.351727261587951e-38
SLC34A2,6.115472,0.0,CYB5A,2.24561,0.0,RPS29,0.8071751,0.0,COL17A1,4.3541274,0.0,ACTG1,1.1480708,0.0,SMC4,5.053325,0.0,CP,4.2817836,8.113744472574432e-117,C15orf48,5.5834794,0.0,ITGB1,1.6967481,0.0,CRABP2,1.7824044,1.4098181747221543e-167,C20orf85,10.956795,0.0,IFI44L,4.045139,0.0,B2M,1.3090252,0.0,GBP1,4.585834,1.3362236693479497e-306,HMGB2,6.010443,7.130148830258645e-270,ITGA3,2.893307,8.48927361100082e-65,RPS3,0.53993696,2.1947929874668123e-11,MTRNR2L8,2.289198,2.8819579260004267e-149,SOX4,2.7360923,3.7010074644450586e-37
LCN2,4.038002,0.0,LGALS3,1.5516527,0.0,RPS6,0.75656325,0.0,TP63,3.7150993,0.0,CAVIN1,4.678315,0.0,CCDC3,5.265888,0.0,CYB5A,2.3356905,9.762732044761686e-115,NAMPT,2.5571113,0.0,SH3BGRL3,1.545382,0.0,IGFBP3,1.8026744,2.8245662649293985e-160,CFAP126,11.378623,0.0,SLPI,2.5086606,0.0,MT-ND4,1.2283119,0.0,PDLIM7,3.962281,1.0391266114540987e-304,ANP32B,1.5316569,5.727242766538861e-268,FLNA,3.396209,1.3403605315316627e-59,XBP1,1.5831323,5.260164293126062e-11,ASH1L,4.9498973,4.113059046628051e-134,KYNU,3.8804371,1.5957195669356325e-36
CEACAM6,6.1042852,0.0,GCNT3,4.117014,0.0,LYPD3,4.50803,0.0,ITGA6,3.686324,0.0,SH3BGRL3,1.7251464,0.0,PTTG1,4.7983828,0.0,SLPI,2.4531302,1.1205429243107135e-114,TCIM,5.6582904,0.0,MX1,3.3295436,0.0,SELENOP,2.2683063,2.3281900506538307e-157,ENKUR,10.653142,0.0,B4GALT5,3.176545,0.0,MT-ND2,1.1410694,0.0,CALD1,4.2311172,1.597501555736375e-304,MKI67,7.2698765,7.622589930207066e-266,ACTN1,2.3742585,6.084389309381575e-59,CD74,1.4283345,5.260164293126062e-11,RBM47,3.7820563,2.4684079276351877e-129,KRT8,1.9914662,4.1732682608951574e-36
CYP2F1,6.783907,0.0,SELENBP1,4.32063,0.0,RPS8,0.77561104,0.0,ATP1B3,1.7718301,0.0,ACTN1,3.067561,0.0,PFN1,1.1213932,0.0,CD74,2.8338528,2.3690334678655418e-114,CLIC4,3.5514116,0.0,IGFBP7,3.1802778,0.0,TMSB4X,0.7429273,9.887499653794557e-157,TSPAN1,3.9012818,0.0,ATP1B1,1.4434097,0.0,MT-CO3,1.004432,0.0,VIM,6.783013,4.675302540216825e-303,CENPW,5.489485,6.039637389381924e-265,LAMB3,2.6816816,9.65845021817705e-59,C3,1.9558007,5.630463116587628e-11,LINC01004,7.922694,1.1175216158448055e-123,ATP5F1B,1.0606041,1.867286969189744e-35
CD74,3.308047,0.0,SERPINB3,3.5924642,0.0,SPRR1B,4.965219,0.0,IGFBP3,1.950413,0.0,IGFBP7,3.3709114,0.0,MT2A,2.4642212,0.0,ALDH1A3,1.7499677,3.166177230350347e-114,SRD5A3,3.3028696,0.0,LDHA,1.5912695,0.0,CTSD,1.2756196,1.0387117419666637e-155,ROPN1L,10.886386,0.0,HERC6,3.6709213,0.0,MT-ND1,1.1015363,0.0,TAP1,3.8566456,7.798145577471793e-301,ZWINT,5.7855387,1.0368927959025922e-263,AGRN,1.8346316,1.85267972983275e-56,AGR2,1.7755661,8.340054373458785e-11,SCARB1,6.867379,6.558841106285258e-118,FOXI1,12.251106,2.1225197599121824e-35
ALDH1A1,4.0088663,0.0,DHRS9,3.061873,0.0,KRT13,5.446587,0.0,SH3BGRL3,1.4577858,0.0,CTSH,1.6049771,0.0,DUT,2.8358347,0.0,GOLM1,3.25716,3.5148602345298124e-113,PTP4A2,1.5669354,0.0,TINAGL1,2.8453834,0.0,SERPINB3,3.022638,4.43092511453501e-155,CTXN1,8.751554,0.0,ELF3,2.9521306,0.0,MT-ND3,0.9917347,0.0,DDX58,4.324099,1.4962760372793253e-298,PTTG1,4.8316784,2.677927377251226e-260,ITGB4,2.964477,1.1975127549984966e-55,RPS29,0.38178012,1.1390536470477332e-10,BMPR2,3.701623,3.708514260648121e-117,EPCAM,3.4563262,3.374730017215259e-33
C3,4.1642523,0.0,SELENOP,2.6474645,0.0,SERPINB5,3.0196762,0.0,PDLIM1,1.4347159,0.0,FHL2,2.940607,0.0,HMGB2,5.7876925,0.0,ALCAM,1.4801973,8.252241469714258e-113,SOX4,2.6258788,0.0,OAS3,3.420325,0.0,CCND1,1.8393238,7.467335430111665e-152,DNALI1,9.186158,0.0,SAMD9L,4.0381117,0.0,MT-CYB,1.0321909,1.2378119307268042e-303,CDH3,2.5240052,3.920019218191751e-298,TPX2,6.6465883,7.038376826190427e-260,CKAP4,1.6132503,9.947560778327568e-55,CP,2.3842313,2.1660987450048553e-10,NUP210L,9.413463,7.104836612234198e-110,B3GNT2,4.0644574,5.882470383342009e-32
PSCA,6.4330344,0.0,CYP4X1,3.3432684,0.0,RPL39,0.8551403,0.0,NAP1L1,0.9158365,0.0,PDLIM1,1.6295923,0.0,PCNA,3.6879885,0.0,DUSP4,4.4645743,1.117543883962844e-112,KYNU,3.9578447,0.0,FYB1,3.4052,0.0,MDK,2.537569,9.522053634832975e-148,SPA17,7.652194,0.0,CEACAM6,5.108574,0.0,MTRNR2L12,1.5124397,5.726839159880595e-302,TGFBI,4.4547815,8.781172792345634e-297,SLC25A5,1.4207009,4.2439809052673745e-255,CAVIN1,3.3686242,1.0824453373891563e-54,KRT15,1.7543976,7.817041041126097e-10,ZNF609,3.8323529,1.48354069263975e-107,ATP6V0B,1.5057586,8.323806960091454e-32
